Empresa;Estado;Produto;Tipo do Produto;Certificação;Tipo Símbolo
CAFE ANGELANDIA LTDA;MG;OURO DO VALE EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE ANGELANDIA LTDA;MG;OURO DO VALE TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE ANGELANDIA LTDA;MG;SABOR DIVINO;TM;Pureza, Qualidade;Tradicional
CAFE BOAVENTURA LTDA;MG;BOAVENTURA EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE BOAVENTURA LTDA;MG;BOAVENTURA GOURMET;TM;Pureza, Qualidade;Gourmet
CAFE BOAVENTURA LTDA;MG;BOAVENTURA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE BOCA DE PITO LTDA.;GO;BOCA DE PITO;TM;Pureza, Qualidade;Tradicional
CAFE BOCA DE PITO LTDA.;GO;BOCA DE PITO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE BOCA DE PITO LTDA.;GO;MAGNATA;TM;Pureza, Qualidade;Extraforte
CAFE BOM SABOR LTDA;BA;BOM AROMA;TM;Pureza, Qualidade;Extraforte
CAFE BOM SABOR LTDA;BA;BOM SABOR - EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE BOM SABOR LTDA;BA;BOM SABOR TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE BOM SABOR LTDA;BA;GAIVOTA;TM;Pureza, Qualidade;Tradicional
CAFE BONJARDINENSE TORREF. E MOAG. LTDA.;RJ;BONJARDINENSE CLASSIC;TM;Pureza, Qualidade;Tradicional
CAFE BONJARDINENSE TORREF. E MOAG. LTDA.;RJ;BONJARDINENSE EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE BONJARDINENSE TORREF. E MOAG. LTDA.;RJ;BONJARDINENSE GOLD;TM;Pureza, Qualidade;Tradicional
CAFE BONZON IND. E COM. LTDA.;ES;BONZON TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE BONZON IND. E COM. LTDA.;ES;VO BEPE;TM;Pureza, Qualidade;Tradicional
CAFE BRAZOPOLIS LTDA;MG;AROMA DA FAZENDA;TM;Pureza, Qualidade;Extraforte
CAFE BRAZOPOLIS LTDA;MG;BRAZOPOLIS;TM;Pureza, Qualidade;Tradicional
CAFE BRAZOPOLIS LTDA;MG;FLORESTA DE ITAJUBA TRADICIONAL;TM;Pureza, Qualidade;Extraforte
CAFE BRAZOPOLIS LTDA;MG;ILUSTRE EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE CAICARA LTDA.;SP;CAICARA EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE CAICARA LTDA.;SP;CAICARA GOLD;TM;Pureza, Qualidade;Superior
CAFE CAICARA LTDA.;SP;CAICARA GRAO EXPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE CAICARA LTDA.;SP;CAICARA PARA MOER NA HORA TRADICIONAL;GR;Pureza, Qualidade;Tradicional
CAFE CAICARA LTDA.;SP;CAICARA SUAVE;TM;Pureza, Qualidade;Tradicional
CAFE CAICARA LTDA.;SP;CAICARA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE CAICARA LTDA.;SP;CAMPO VERDE;TM;Pureza, Qualidade;Tradicional
CAFE CAICARA LTDA.;SP;CORREIA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE CAICARA LTDA.;SP;ITATIBENSE ESPRESSO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE CAICARA LTDA.;SP;ITATIBENSE EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
CAFE CAICARA LTDA.;SP;ITATIBENSE TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE CAICARA LTDA.;SP;NEGRAO;TM;Pureza, Qualidade;Tradicional
CAFE CAICARA LTDA.;SP;NEGRAO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE CAICARA LTDA.;SP;SAN PIETRO EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE CAICARA LTDA.;SP;SAN PIETRO GOURMET;GR;Pureza, Qualidade;Gourmet
CAFE CAICARA LTDA.;SP;SAN PIETRO SUPERIOR;TM;Pureza, Qualidade;Superior
CAFE CAICARA LTDA.;SP;SAO JOAQUIM;TM;Pureza, Qualidade;Tradicional
CAFE CAICARA LTDA.;SP;SAO JOAQUIM EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
CAFE CAICARA LTDA.;SP;SAO JOAQUIM GRAO ESPRESSO;GR;Pureza, Qualidade;Gourmet
CAFE CAICARA LTDA.;SP;SAO JOAQUIM TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE CAMAPUA TRANSPORTES LTDA;MG;CAMAPUA;TM;Pureza, Qualidade;Tradicional
CAFE CAMAPUA TRANSPORTES LTDA;MG;ENTRE RIOS  TRADICIONAL;TM;Pureza, Qualidade;Tradicional
CAFE CAMAPUA TRANSPORTES LTDA;MG;QUELUZ EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
